x,y,theta,hue_rad,saturation,is_anomaly
-0.128153,-0.076241,0.112672,2.055085,0.448347,0
0.124803,-0.105820,0.655164,4.026045,0.369946,0
-0.000309,0.119063,0.384029,6.189566,0.391700,0
-0.127923,-0.076508,0.112638,2.054627,0.447867,0
0.124885,-0.105950,0.655062,4.026045,0.369946,0
-0.000720,0.119402,0.383155,6.189566,0.391700,0
-0.128159,-0.076252,0.112279,2.054627,0.447867,0
0.124754,-0.105860,0.654561,4.026045,0.369946,0
-0.000294,0.119130,0.384228,6.189566,0.391700,0
-0.127924,-0.076457,0.112960,2.055029,0.447902,0
0.124889,-0.105927,0.655026,4.026190,0.370102,0
-0.000664,0.119249,0.384463,6.182434,0.391151,0
-0.128132,-0.076322,0.112078,2.055029,0.447902,0
0.124824,-0.105861,0.654954,4.026190,0.370102,0
-0.000494,0.119075,0.385582,6.182780,0.391354,0
-0.127924,-0.076446,0.112396,2.054608,0.447422,0
0.124861,-0.105953,0.654653,4.023413,0.370287,0
-0.000630,0.119090,0.386145,6.182780,0.391354,0
-0.128090,-0.076361,0.112667,2.054369,0.449938,0
0.124795,-0.105933,0.654600,4.032146,0.369579,0
-0.000499,0.119058,0.384520,6.182780,0.391354,0
-0.127988,-0.076364,0.112488,2.057963,0.448638,0
0.124873,-0.105888,0.654981,4.032146,0.369579,0
-0.000579,0.119162,0.385908,6.182780,0.391354,0
-0.127952,-0.076413,0.111871,2.054558,0.446979,0
0.124864,-0.105914,0.654984,4.023425,0.370442,0
-0.000602,0.119038,0.385715,6.188780,0.391537,0
-0.128104,-0.076343,0.112780,2.057611,0.448156,0
0.124796,-0.105912,0.654518,4.023425,0.370442,0
-0.000499,0.119039,0.386472,6.182780,0.391354,0
-0.128001,-0.076406,0.111990,2.054558,0.446979,0
0.124874,-0.105890,0.655060,4.023425,0.370442,0
-0.000628,0.119069,0.386145,6.191118,0.391489,0
-0.128096,-0.076375,0.112787,2.054558,0.446979,0
0.124843,-0.105879,0.654943,4.023425,0.370442,0
-0.000483,0.119035,0.386336,6.189139,0.391739,0
-0.127995,-0.076415,0.112132,2.054124,0.446499,0
0.124867,-0.105894,0.655017,4.032146,0.369579,0
-0.000593,0.119035,0.385593,6.189139,0.391739,0
-0.128088,-0.076344,0.112431,2.053904,0.449011,0
0.124837,-0.105850,0.654839,4.023413,0.370287,0
-0.000478,0.119060,0.386597,6.189139,0.391739,0
-0.128015,-0.076423,0.112036,2.054124,0.446499,0
0.124874,-0.105900,0.655081,4.023413,0.370287,0
-0.000586,0.119080,0.386009,6.189139,0.391739,0
-0.128084,-0.076341,0.112688,2.053477,0.448530,0
0.124841,-0.105855,0.654936,4.015232,0.369487,0
-0.000499,0.119062,0.387097,6.189139,0.391739,0
-0.128021,-0.076435,0.111927,2.053477,0.448530,0
0.124874,-0.105898,0.655083,4.015232,0.369487,0
-0.000574,0.119094,0.386058,6.189139,0.391739,0
-0.128093,-0.076316,0.112415,2.053477,0.448530,0
0.124812,-0.105909,0.654513,4.023570,0.370599,0
-0.000558,0.119028,0.385272,6.189139,0.391739,0
-0.128078,-0.076382,0.112325,2.057127,0.447231,0
0.124846,-0.105885,0.654855,4.023570,0.370599,0
-0.000334,0.119147,0.384579,6.189428,0.391941,0
-0.127994,-0.076425,0.112047,2.056820,0.449740,0
0.124840,-0.105942,0.654569,4.023570,0.370599,0
-0.000580,0.119197,0.384058,6.187398,0.391050,0
