# generated_by: experiments/mc_sweep_ow.py
# git_commit: 16a1a35
# date: 2026-07-03 10:36 UTC
# trials_per_cell: 1000  steps: 500  controller: logic_g_newton_contour_pentagon
# start_mode: fixed  fixed_start: (-0.5, 0.25)
# D_on: 0.02  D_stay: 0.1  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_lock,steps,success_track,exited_domain,collapsed,d_mean,d_p95,shape_rms_max,effort,final_x,final_y
0,0,1164110,-0.5,0.25,5.88433,22,115,1,1,0,0.000770699,0.00473541,5.07594e-10,1.43926,0.524873,-0.524848
0,0,1172029,-0.5,0.25,5.34622,22,116,1,1,0,0.00077949,0.0054955,5.07515e-10,1.45078,0.525114,-0.525152
0,0,1179948,-0.5,0.25,0.441775,22,116,1,1,0,0.000806324,0.00546156,5.07599e-10,1.45091,0.526275,-0.526336
0,0,1187867,-0.5,0.25,2.26911,22,115,1,1,0,0.000804049,0.00474245,5.0742e-10,1.43911,0.524354,-0.524295
0,0,1195786,-0.5,0.25,5.8662,22,115,1,1,0,0.000765221,0.00475414,5.07339e-10,1.43927,0.524774,-0.524755
0,0,1203705,-0.5,0.25,1.1576,22,115,1,1,0,0.000804135,0.00494503,5.0738e-10,1.43888,0.522079,-0.522021
0,0,1211624,-0.5,0.25,2.40808,22,115,1,1,0,0.000804932,0.00493518,5.07592e-10,1.43889,0.522197,-0.522138
0,0,1219543,-0.5,0.25,3.02043,22,116,1,1,0,0.000808733,0.0053898,5.07461e-10,1.451,0.527435,-0.527495
0,0,1227462,-0.5,0.25,4.34692,22,115,1,1,0,0.000810256,0.00528565,5.07667e-10,1.43909,0.520409,-0.520463
0,0,1235381,-0.5,0.25,4.41238,22,115,1,1,0,0.000795388,0.00515039,5.07362e-10,1.43917,0.521823,-0.521864
0,0,1243300,-0.5,0.25,5.86491,22,115,1,1,0,0.000764818,0.00475563,5.07453e-10,1.43927,0.524765,-0.524747
0,0,1251219,-0.5,0.25,2.75458,22,116,1,1,0,0.00075283,0.00544986,5.07546e-10,1.45072,0.525169,-0.525188
0,0,1259138,-0.5,0.25,5.99555,22,115,1,1,0,0.000796645,0.00471076,5.07457e-10,1.43916,0.524737,-0.524684
0,0,1267057,-0.5,0.25,4.80176,22,115,1,1,0,0.000806351,0.00476327,5.07415e-10,1.43908,0.52413,-0.52407
0,0,1274976,-0.5,0.25,1.6584,22,116,1,1,0,0.000803419,0.00548746,5.07588e-10,1.45086,0.525735,-0.525796
0,0,1282895,-0.5,0.25,1.91869,22,115,1,1,0,0.000789655,0.00510185,5.07589e-10,1.43919,0.522229,-0.522266
0,0,1290814,-0.5,0.25,2.87272,22,116,1,1,0,0.000790557,0.00549913,5.0749e-10,1.45082,0.52534,-0.525372
0,0,1298733,-0.5,0.25,4.30545,22,116,1,1,0,0.000807209,0.00534854,5.07463e-10,1.45104,0.528009,-0.528067
0,0,1306652,-0.5,0.25,2.59642,22,116,1,1,0,0.000748476,0.00524094,5.07474e-10,1.4507,0.527012,-0.526989
0,0,1314571,-0.5,0.25,3.40907,22,115,1,1,0,0.000781026,0.00470934,5.07514e-10,1.43924,0.52497,-0.524933
0,0,1322490,-0.5,0.25,5.10687,22,116,1,1,0,0.000749371,0.00523629,5.07468e-10,1.4507,0.527062,-0.527038
0,0,1330409,-0.5,0.25,1.80993,22,116,1,1,0,0.000805389,0.00532011,5.07441e-10,1.45106,0.528384,-0.52844
0,0,1338328,-0.5,0.25,1.72414,22,116,1,1,0,0.000807994,0.0054375,5.07476e-10,1.45095,0.526701,-0.526762
0,0,1346247,-0.5,0.25,3.62378,22,115,1,1,0,0.000808481,0.00487416,5.07491e-10,1.43896,0.522946,-0.522885
