# generated_by: experiments/mc_sweep_separatrix.py
# git_commit: 0d6d40e
# date: 2026-07-03 05:56 UTC
# trials_per_cell: 5  steps: 500  controller: separatrix_logic_c_step
# start_mode: fixed  fixed_start: (0.0, 0.35)  start_box: (-0.8, 0.8, -0.4, 0.4)
# band_x: 0.05  collapse_rms: 0.3
sigma_uv,sigma_p,seed,start_x,start_y,heading,t_band,steps,success_traverse,success_band,success_straddle,first_straddle,collapsed,track_mean,track_p95,shape_rms_max,effort,final_x,final_y
0.05,0.005,50028757,0,0.35,0.5649,22,254,0,1,0,0,0,0.445428,0.982532,8.71368e-09,3.26597,1.00106,-0.15644
0.05,0.005,50036676,0,0.35,4.97129,0,166,0,1,0,0,0,0.128195,0.448517,9.55744e-10,2.1619,0.516817,-0.520687
0.05,0.01,50010000,0,0.35,1.32965,0,170,0,1,0,0,0,0.285163,0.710394,8.9357e-10,2.21482,-0.77254,-0.521451
0.05,0.01,50017919,0,0.35,0.290749,0,158,0,1,0,0,0,0.063723,0.279941,7.86567e-10,1.96849,0.349439,-0.523449
0.05,0.01,50025838,0,0.35,2.95358,0,500,0,1,0,0,0,0.42163,0.946455,0.230718,6.52259,-0.434627,-0.273183
0.05,0.01,50033757,0,0.35,5.09821,0,190,0,1,0,0,0,0.35072,0.975974,1.24262e-09,2.4728,1.00015,-0.327177
0.05,0.01,50041676,0,0.35,4.2036,0,141,0,1,0,0,0,0.125733,0.423043,7.38636e-10,1.81648,0.483459,-0.521738
0.05,0.02,50020000,0,0.35,4.72716,0,164,0,1,0,0,0,0.131365,0.509702,9.98068e-10,2.11539,-0.592141,-0.523241
0.05,0.02,50027919,0,0.35,2.91696,0,253,0,1,0,0,0,0.403548,0.985479,8.35954e-09,3.19688,-1.00005,-0.0200294
0.05,0.02,50035838,0,0.35,6.2808,0,500,0,0,0,0,1,0.373391,0.939188,1.26459,6.57908,-0.262336,-0.280136
0.05,0.02,50043757,0,0.35,5.23128,0,500,0,0,0,0,1,0.393447,0.891316,2.08929,6.65682,-0.507492,-0.0458579
0.05,0.02,50051676,0,0.35,4.7226,0,500,0,1,0,0,0,0.432481,0.972027,0.0465446,6.30846,-0.213152,-0.38427
0.05,0.05,50050000,0,0.35,4.56568,0,119,1,1,1,0,0,0.0318536,0.0547444,4.26825e-10,1.49578,-0.0543163,-0.478178
0.05,0.05,50057919,0,0.35,0.571481,0,500,0,1,0,0,0,0.422495,0.867261,0.0720076,6.43202,-0.610249,-0.209523
0.05,0.05,50065838,0,0.35,3.33509,0,156,0,1,0,0,0,0.0783454,0.294891,8.07363e-10,1.96439,-0.346112,-0.522869
0.05,0.05,50073757,0,0.35,5.2616,0,94,1,1,1,0,0,0.0180437,0.0510604,3.70013e-10,1.18113,0.00396903,-0.447839
0.05,0.05,50081676,0,0.35,2.21851,0,105,1,1,1,0,0,0.013518,0.0333767,3.97217e-10,1.36021,-0.0132779,-0.443393
0.1,0,100000000,0,0.35,1.0525,0,175,0,1,0,0,0,0.158223,0.470391,9.90263e-10,2.2085,-0.52918,-0.521857
0.1,0,100007919,0,0.35,3.55459,0,500,0,1,0,0,0,0.46076,0.946786,0.122038,6.3555,0.0252055,-0.0955789
0.1,0,100015838,0,0.35,2.92352,11,113,1,1,1,0,0,0.0238514,0.048205,4.83774e-10,1.39663,0.015609,-0.443052
0.1,0,100023757,0,0.35,3.22514,0,251,0,1,0,0,0,0.330114,0.980946,2.22116e-09,3.15248,1.00246,-0.328952
0.1,0,100031676,0,0.35,3.91485,0,193,0,1,0,0,0,0.197716,0.537693,1.19356e-09,2.38283,0.617833,-0.524242
0.1,0.005,100005000,0,0.35,0.122018,0,219,0,1,0,0,0,0.361444,0.977197,1.48693e-09,2.771,-1.00297,-0.263377
0.1,0.005,100012919,0,0.35,2.59978,0,112,1,1,1,0,0,0.035467,0.0631782,4.14086e-10,1.40917,-0.00609234,-0.449813
0.1,0.005,100020838,0,0.35,0.834016,0,278,0,1,0,0,0,0.36235,0.963498,1.37876e-08,3.45115,1.00221,-0.280994
0.1,0.005,100028757,0,0.35,0.718626,0,153,0,1,0,0,0,0.134052,0.449731,7.7356e-10,1.97594,0.514246,-0.521276
0.1,0.005,100036676,0,0.35,0.748894,0,152,0,1,0,0,0,0.225835,0.670807,8.78316e-10,1.93923,0.729285,-0.524767
0.1,0.01,100010000,0,0.35,5.82982,0,128,0,1,0,0,0,0.0351515,0.0783111,5.03013e-10,1.61761,-0.0917835,-0.527182
0.1,0.01,100017919,0,0.35,0.760493,0,150,0,1,0,0,0,0.112537,0.376444,6.91263e-10,1.92024,-0.414569,-0.520402
0.1,0.01,100025838,0,0.35,6.20669,0,161,0,1,0,0,0,0.17248,0.563249,9.94199e-10,2.0395,0.624363,-0.520622
0.1,0.01,100033757,0,0.35,4.45149,0,500,0,1,0,0,0,0.425646,0.930547,0.219683,6.21731,-0.0535662,0.273715
0.1,0.01,100041676,0,0.35,4.32786,0,272,0,1,0,0,0,0.395891,0.99377,6.91942e-08,3.41789,-1.00096,0.00359913
0.1,0.02,100020000,0,0.35,4.36132,0,224,0,1,0,0,0,0.183519,0.677789,1.45471e-09,2.77366,0.775108,-0.523907
0.1,0.02,100027919,0,0.35,6.15806,0,500,0,1,0,0,0,0.401085,0.861801,0.0625151,6.23688,0.440248,-0.4548
0.1,0.02,100035838,0,0.35,2.05745,0,423,0,1,0,0,0,0.338352,0.756133,0.000964228,5.32173,-0.185189,-0.52171
0.1,0.02,100043757,0,0.35,0.730868,0,354,0,1,0,0,0,0.490497,0.984194,1.57252e-06,4.33686,1.00226,0.481826
0.1,0.02,100051676,0,0.35,3.09546,0,163,0,1,0,0,0,0.0657348,0.212696,6.79075e-10,1.98804,-0.272239,-0.521329
0.1,0.05,100050000,0,0.35,5.03967,0,273,0,1,0,0,0,0.401705,0.976288,1.39463e-08,3.38273,-1.00278,-0.0270468
0.1,0.05,100057919,0,0.35,2.69412,0,164,1,1,1,0,0,0.0204195,0.0509629,7.43838e-10,1.97607,0.0442736,-0.462272
0.1,0.05,100065838,0,0.35,1.75354,0,500,0,0,0,0,1,0.452793,0.966985,0.64926,6.45461,-0.0768706,0.354641
0.1,0.05,100073757,0,0.35,4.20293,0,210,0,1,0,0,0,0.392608,0.96442,1.47094e-09,2.66741,-1.00153,-0.465076
