Time(s),radii001_radius,radii001_x,radii001_y,radii01_radius,radii01_x,radii01_y,radii02_radius,radii02_x,radii02_y,radii03_radius,radii03_x,radii03_y,radii04_radius,radii04_x,radii04_y,radii05_radius,radii05_x,radii05_y
117.000000,0.175343,0.081082,0.155470,0.254793,-0.195777,-0.163067,0.333383,-0.331040,-0.039456,0.428862,-0.051775,-0.425725,0.527790,0.017533,-0.527498,0.606930,-0.307281,0.523396
118.000000,0.175038,0.093336,0.148076,0.254316,-0.203730,-0.152219,0.333957,-0.332942,-0.026014,0.428911,-0.066367,-0.423745,0.527959,0.002766,-0.527952,0.606926,-0.295450,0.530159
119.000000,0.174928,0.105065,0.139861,0.254433,-0.211902,-0.140832,0.334822,-0.334608,-0.011964,0.428863,-0.080311,-0.421276,0.527711,-0.011055,-0.527595,0.607242,-0.283118,0.537204
120.000000,0.175092,0.115967,0.131182,0.254275,-0.218694,-0.129726,0.335611,-0.335607,0.001659,0.429054,-0.093803,-0.418674,0.527228,-0.025109,-0.526630,0.607199,-0.270979,0.543379
121.000000,0.175481,0.126477,0.121643,0.253811,-0.224921,-0.117602,0.336173,-0.335811,0.015606,0.428649,-0.107419,-0.414971,0.526651,-0.039003,-0.525205,0.607226,-0.258518,0.549447
122.000000,0.175514,0.135944,0.111015,0.253585,-0.230621,-0.105449,0.337045,-0.335803,0.028906,0.429098,-0.121290,-0.411599,0.525947,-0.053280,-0.523241,0.606726,-0.245902,0.554661
123.000000,0.175987,0.145391,0.099161,0.253307,-0.235110,-0.094274,0.337271,-0.334516,0.043024,0.428765,-0.134936,-0.406978,0.526085,-0.067099,-0.521788,0.606631,-0.233133,0.560045
124.000000,0.176328,0.153278,0.087163,0.253211,-0.239721,-0.081545,0.337581,-0.332837,0.056395,0.429148,-0.148261,-0.402724,0.525723,-0.081303,-0.519398,0.606643,-0.220374,0.565200
125.000000,0.176143,0.159704,0.074303,0.252816,-0.243350,-0.068535,0.337174,-0.329676,0.070709,0.428648,-0.161348,-0.397122,0.525868,-0.094810,-0.517251,0.606301,-0.207230,0.569787
126.000000,0.175708,0.164524,0.061685,0.252980,-0.246745,-0.055821,0.337765,-0.327200,0.083819,0.428652,-0.174290,-0.391619,0.526284,-0.108095,-0.515063,0.606620,-0.194439,0.574614
127.000000,0.175662,0.168968,0.048031,0.252893,-0.249332,-0.042290,0.337654,-0.323451,0.096898,0.428027,-0.186607,-0.385208,0.525859,-0.121120,-0.511720,0.607421,-0.181421,0.579695
128.000000,0.175441,0.172128,0.033932,0.252627,-0.250863,-0.029795,0.337479,-0.319246,0.109427,0.427537,-0.198622,-0.378599,0.526005,-0.134246,-0.508585,0.607411,-0.168461,0.583582
129.000000,0.175476,0.174390,0.019495,0.252245,-0.251740,-0.015954,0.337211,-0.314349,0.122049,0.427264,-0.210884,-0.371595,0.526240,-0.147947,-0.505015,0.607423,-0.155207,0.587259
130.000000,0.175286,0.175203,0.005405,0.252103,-0.252095,-0.001968,0.337245,-0.309411,0.134160,0.426361,-0.222654,-0.363605,0.526662,-0.160910,-0.501479,0.607280,-0.142210,0.590394
