environment,primitive,field_mode,radius,avg_dist_origin,std_dist_origin,avg_dist_to_est_center,std_dist_to_est_center,est_center_x_mean,est_center_x_std,est_center_y_mean,est_center_y_std
vortex1,3R_vector_sum,nn,0.2,0.6793636488454803,0.21514863668427495,1.1248749300997547,0.8005612295741426,0.22565776965788298,0.526167805486608,0.06723028499134782,0.5418379382267914
vortex1,3R_vector_sum,nn,0.3,0.7192068444134241,0.20795245407366625,1.1439638334235587,0.7009375828029022,0.06878745323131989,0.4645507104124312,-0.026937466810227968,0.5333947100752249
vortex1,3R_vector_sum,nn,0.4,0.7746146955528138,0.20229317754371026,1.2988531200555693,0.7221352257188577,-0.08658645710250706,0.42610516869010473,0.1350819390280999,0.6546730294713506
vortex1,3R_vector_sum,nn,0.5,0.8341372032814066,0.18523191653470997,1.6892869944684608,1.0456560231787622,-0.06074572496684546,0.7943912247787638,0.403204925547168,0.8935358361074952
vortex1,3R_vector_sum,nn,0.6,0.9040434420093777,0.17087129999298017,2.2505425556704215,1.6460118488461097,0.23438284106381976,1.2673379775203168,0.655554928257513,1.4398745876285874
vortex1,3R_vector_sum,rbf,0.1,0.6823477215687772,0.274253931928094,2.371935870498026,16.166883738114464,1.1631456075774602,15.797613713018302,0.519842601148453,3.9074440125581384
vortex1,3R_vector_sum,rbf,0.2,0.6994841045591753,0.2544887193805872,0.8902997367430074,0.9529446558228752,0.0004845655112181557,0.8330926310102225,0.25535954974862934,0.6699491029724469
vortex1,3R_vector_sum,rbf,0.3,0.6959605221697567,0.18555087524284902,1.0369418689678378,1.6205782327471687,-0.06984632091765547,1.4891788207505987,0.2526046548226492,0.9781933133738651
vortex1,3R_vector_sum,rbf,0.4,0.8028088983659138,0.2257853794516651,5.313634568218977,30.72400554736414,-1.7776082041678058,30.171048297753405,-0.5300949503708402,7.668872807891658
vortex1,3R_vector_sum,rbf,0.5,0.9045581111258182,0.28157328308941537,2.227028166562368,3.5509878223950637,-0.853792851040536,3.2611739367402888,0.5072529337965804,1.7653404179113414
vortex1,3R_vector_sum,rbf,0.6,0.9827945541597073,0.2873145656901175,1.5443781840671993,1.3823703121023414,-0.0984766889209529,1.3305246988926336,0.4428316960121278,0.7913284272016409
saddle1,3R_orbiter_plane,analytical,0.1,0.2062626485737743,0.027489452010316908,0.20626264857377433,0.027489452010316936,4.0557725661541833e-17,6.819202259149664e-16,3.7386496774332726e-18,4.154627567936104e-17
saddle1,3R_orbiter_plane,analytical,0.2,0.27486713523850687,0.016201949445246087,0.27486713523850687,0.016201949445246083,2.107304983696213e-18,2.7619237117432494e-17,-2.3219565882599168e-18,2.683751512319663e-17
saddle1,3R_orbiter_plane,analytical,0.3,0.3609933158237355,0.01855655476993739,0.36099331582373545,0.018556554769937388,-7.043477107351763e-18,7.536335805677535e-17,-6.625396410408279e-18,2.0467755713652534e-16
saddle1,3R_orbiter_plane,analytical,0.4,0.4453414428151073,0.011546140148601551,0.4453414428151072,0.011546140148601546,6.939543717825252e-17,9.183041716724638e-16,2.629635731553207e-18,1.7567209367342551e-16
